"Path","LineNumber","Line"
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","2","  ""company_name"": ""ABC Roofing"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","26","        ""roof"", ""roofing"", ""leak"", ""leaking"", ""shingles"", ""repair"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","66","      ""description"": ""Full roof replacement and new construction roofing ? using premium materials with industry-leading warranties."","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","98","          ""prompt"": ""Do you have a preference for roofing material ? asphalt shingles, metal, tile? Or would you like our recommendation based on your situation?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","135","    ""Hi! Welcome to ABC Roofing. I'm Sarah, an AI assistant. How can I help you with your roofing needs today?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","136","    ""Hey there! Thanks for reaching out to ABC Roofing. I'm an AI assistant ? what's going on with your roof? I'm here to help!"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","137","    ""Hello! Welcome to ABC Roofing. I'm Sarah, an AI assistant. Whether it's a repair or a new roof, I'm here to point you in the right direction. What can I help with?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","138","    ""Hi! I'm Sarah, ABC Roofing's AI assistant. We handle everything from small repairs to full installations. What do you need help with today?"""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","142","    ""Hi! Welcome to {{company_name}}. How can I help you with your roofing needs today?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","143","    ""Hey there! I'm here to help with any roofing questions. What's going on?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","144","    ""Hello! Good to have you here. Is there a roofing issue I can help you with?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","146","    ""Hey! What roofing challenge can I help you with today?"""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","150","    ""I'm Sarah, the AI assistant for {{company_name}}. We help homeowners and businesses with roof repairs and installations. What's going on with your roof?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","151","    ""I help people get their roofing problems solved quickly. Whether it's a leak, storm damage, or a full replacement ? I can point you in the right direction. What do you need?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","152","    ""{{company_name}} has been serving the community with quality roofing services. I'm here to help you figure out the best next step. What's your situation?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","153","    ""Think of me as your roofing advisor. I help with repairs, replacements, and free inspections. What can I do for you?"""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","159","    ""I want to help ? is there a roofing issue you're dealing with?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","166","    ""Happy to help ? are you dealing with a roofing problem right now?"""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","170","    ""That's outside what we do, but we're experts in roofing! Is there a roof issue I can help with?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","171","    ""I'm focused on roofing ? repairs and installations. Is there something along those lines I can help you with?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","172","    ""That's not our area, but if you have any roofing needs, that's exactly what we do. What's going on with your roof?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","173","    ""We specialize in roofing. Is there a leak, damage, or replacement you need help with?"""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","192","      ""Great ? let's make this happen. I'll get our roofing crew scheduled for you."","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","201","      ""No worries at all! If you ever need roofing help, we're just a call away."","
